Frame Rate:,24.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,0.0934190031152648,0.07021028037383177,0.007827102803738318,0.2022196261682243
2,00:00:00.083,0.0007398753894080996,0.0,0.00015576323987538941,0.0020638629283489095
3,00:00:00.125,0.0,0.0,0.0,0.0
4,00:00:00.167,0.0,0.0,0.0,0.0
5,00:00:00.208,0.0,0.0,0.0,0.0
6,00:00:00.250,0.1065031152647975,0.08617601246105919,0.036838006230529595,0.19649532710280374
7,00:00:00.292,0.20003894080996884,0.1572429906542056,0.06452492211838007,0.3783489096573209
8,00:00:00.333,0.20080477673935618,0.15245327102803738,0.03617601246105919,0.413785046728972
9,00:00:00.375,0.18039979231568015,0.10626947040498443,0.06845794392523365,0.3664719626168224
10,00:00:00.417,0.165472481827622,0.10942367601246106,0.04384735202492212,0.34314641744548285
11,00:00:00.458,0.36272066458982355,0.1847741433021807,0.06296728971962617,0.8404205607476636
12,00:00:00.500,0.2893172377985462,0.21725077881619936,0.06214953271028038,0.5885514018691589
13,00:00:00.542,0.25092159916926277,0.16569314641744548,0.08142523364485982,0.5056464174454829
14,00:00:00.583,0.27111889927310484,0.2164330218068536,0.0610202492211838,0.5359034267912772
15,00:00:00.625,0.29866303219106954,0.17091121495327102,0.05077881619937695,0.6742990654205607
16,00:00:00.667,0.4484164070612669,0.3525311526479751,0.03605919003115265,0.9566588785046729
17,00:00:00.708,0.46109813084112145,0.32531152647975076,0.08072429906542056,0.9772585669781931
18,00:00:00.750,0.20427050882658362,0.0998442367601246,0.07737538940809968,0.4355919003115265
19,00:00:00.792,0.2473130841121495,0.13531931464174454,0.06292834890965732,0.5436915887850468
20,00:00:00.833,0.14061526479750777,0.09493769470404985,0.07118380062305296,0.25572429906542055
21,00:00:00.875,0.14698857736240914,0.09003115264797508,0.03952492211838006,0.3114096573208723
22,00:00:00.917,0.519223779854621,0.4267523364485981,0.10455607476635514,1.0263629283489097
23,00:00:00.958,0.42751817237798545,0.28839563862928347,0.10175233644859813,0.8924065420560747
24,00:00:01.000,0.5253374870197299,0.4600077881619938,0.07920560747663552,1.0367990654205608
25,00:00:01.042,1.1658748701973,0.9194704049844237,0.14275700934579438,2.435397196261682
26,00:00:01.083,1.0874740394600209,0.7514018691588785,0.20549065420560747,2.3055295950155763
27,00:00:01.125,1.083683800623053,0.7800233644859813,0.24104361370716512,2.2299844236760125
28,00:00:01.167,1.2712746625129803,0.8565031152647975,0.2283878504672897,2.7289330218068537
29,00:00:01.208,1.5342419522326065,1.2445482866043613,0.38489096573208725,2.9732866043613706
30,00:00:01.250,0.8150960539979231,0.5802570093457944,0.06814641744548286,1.7968847352024921
31,00:00:01.292,0.9225726895119418,0.8465342679127725,0.05276479750778816,1.8684190031152648
32,00:00:01.333,0.5455607476635514,0.4340732087227414,0.029945482866043614,1.172663551401869
33,00:00:01.375,0.1280503634475597,0.15035046728971962,0.0031931464174454827,0.230607476635514
34,00:00:01.417,0.14578141225337485,0.15218068535825546,0.0034657320872274145,0.2816978193146417
35,00:00:01.458,0.5055815160955348,0.43228193146417443,0.05623052959501558,1.0282320872274144
36,00:00:01.500,0.8976116303219107,0.7075155763239875,0.2087227414330218,1.7765965732087228
37,00:00:01.542,0.7483904465212876,0.5683021806853582,0.0845404984423676,1.592328660436137
38,00:00:01.583,0.699091381100727,0.5057242990654206,0.3418613707165109,1.2496884735202491
39,00:00:01.625,0.9077492211838006,0.6156542056074766,0.3743380062305296,1.7332554517133956
40,00:00:01.667,0.319561266874351,0.2729361370716511,0.06869158878504673,0.6170560747663552
41,00:00:01.708,1.1095404984423676,0.74797507788162,0.47149532710280373,2.1091510903426793
42,00:00:01.750,1.3470404984423674,1.006619937694704,0.5177570093457944,2.516744548286604
43,00:00:01.792,0.6698857736240914,0.5540109034267913,0.16880841121495327,1.2868380062305296
44,00:00:01.833,1.3361111111111112,1.0748831775700936,0.5230919003115265,2.4103582554517136
45,00:00:01.875,1.3651220145379026,1.0950545171339563,0.6371495327102804,2.3631619937694706
46,00:00:01.917,0.8775441329179646,0.7198598130841122,0.25782710280373833,1.6549454828660437
47,00:00:01.958,2.0924195223260647,1.54392523364486,0.8419003115264797,3.891433021806854
48,00:00:02.000,1.8946651090342677,1.611760124610592,0.4716510903426791,3.600584112149533
49,00:00:02.042,2.2693406022845277,1.9831386292834892,0.5095404984423676,4.315342679127726
50,00:00:02.083,1.8231827622014538,1.333956386292835,0.7117990654205607,3.423792834890966
51,00:00:02.125,1.3759345794392523,1.2640576323987538,0.5495716510903427,2.3141744548286605
52,00:00:02.167,1.0378894080996885,0.9241822429906542,0.2829828660436137,1.9065031152647975
53,00:00:02.208,1.8535565939771548,1.5781542056074767,0.7272196261682243,3.2552959501557632
54,00:00:02.250,2.467744029075805,2.0598909657320874,0.6523753894080997,4.690965732087228
